,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1.400€,3,51 m²,Централно,6 кат  ,Во Зграда,Во градба,Празен,Да,2023,NaN,1 Балкон,1,Не,1 Паркинг,Исток,Vangel Todorovski
1,1€,3,79 m²,Струја,1 кат  ,Во Зграда,Нов,Празен,Не,2023,NaN,2 Балкони,2,Да,1 Паркинг,Југоисток,NaN
2,1.150€,4,85 m²,Централно,4 кат  ,Во Зграда,Нов,Наместен,Не,2011,NaN,1 Балкон,2,Да,1 Паркинг,Југоисток,Bozidar Adzija
3,500€,3,60 m²,Централно,1 кат  ,Во Зграда,Нов,Празен,Не,NaN,NaN,1 Балкон,1,Не,Нема,Североисток,CENTAR
4,300€,2,57 m²,Централно,2 кат  ,Во Зграда,Нов,Луксузен,Да,000,000,1 Тераса,1,Не,Нема,Југоисток,Xxx
5,400€,4,100 m²,Струја,2 кат  ,Во Зграда,Реновиран,Наместен,Не,2009,2009,2 Балкони,2,Не,Нема,Југозапад,Crnice 16
6,220€,2,44 m²,Струја,9 кат  ,Во Зграда,Нов,Празен,Да,2023,NaN,1 Балкон,1,Не,Нема,Југозапад,NaN
7,280€,3,60 m²,Струја,3 кат  ,Во Зграда,Нов,Наместен,Не,NaN,NaN,1 Тераса,2,Не,Нема,Југозапад,Козле
8,400€,4,80 m²,Централно,9 кат  ,Во Зграда,Стар,Наместен,Да,1960,2023,3 Балкони,1,Да,1 Паркинг,Северозапад,Bl.Kliment Ohridski
9,8.000МКД,2,40 m²,Струја,Приземје,Во куќа,Реновиран,Наместен,Не,2000,2015,1 Тераса,1,Не,1 Паркинг,Исток,Kozle-7 br.1
10,7.500МКД,"1,5",35 m²,Струја,1 кат  ,Во куќа,Стар,Наместен,Не,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Југозапад,NaN
11,200€,3,70 m²,Дрва,Приземје,Во куќа,Реновиран,Празен,Не,1995,NaN,1 Балкон,2,Да,1 Паркинг,Исток,"ul. ""Vladimir Nazor"" br.10"
12,250€,3,75 m²,Струја,2 кат  ,Во Зграда,Реновиран,Празен,Не,2000,2018,1 Тераса,1,Не,1 Паркинг,Североисток,улица Кораб
13,550€,2,60 m²,Централно,1 кат  ,Во Зграда,Нов,Луксузен,Да,2020,NaN,2 Балкони,1,Да,1 Паркинг,Југоисток,Praska 11
14,350€,3,54 m²,Централно,2 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,2,Не,2 Паркинг места,Исток,NaN
15,450€,3,56 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,2022,NaN,1 Балкон,1,Не,1 Паркинг,Југоисток,Ul. Franjo Kluz br. 3
16,200€,2,56 m²,Централно,3 кат  ,Во Зграда,Реновиран,Празен,Да,NaN,NaN,Нема,1,Не,Нема,Север,Bulevard Jane Sandanski
